road,id,condition,bridge_name,betweenness_centrality,closeness_centrality,degreecentrality_centrality
N1,6015,,,0.43859084412577015,0.0017533639389583368,0.001026518391787853
N1,1133,,,0.4616674541793503,0.0017891869438636091,0.0005132591958939265
N1,1157,,,0.4418875654382054,0.0017941891600278597,0.00034217279726261765
N1,1158,,,0.46289808180646624,0.0017944116893104333,0.0005132591958939265
N1,1209,,,0.45394133996600516,0.001789146964112987,0.00034217279726261765
N1,1210,,,0.4698468126814719,0.0017891732519670193,0.0005132591958939265
N1,2756,,,0.5130720664859778,0.0017890100606947298,0.0006843455945252353
N1,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
N1,7062,,,0.4502717845818092,0.0016886845710567843,0.0005132591958939265
N1,1384,,,0.45782497779448433,0.0016878302386410036,0.0005132591958939265
N1,1419,,,0.46182724021010485,0.001656193967090335,0.0005132591958939265
N1,1663,,,0.38284056703255265,0.001404911638388964,0.0005132591958939265
N1,7716,,,0.3763311452776465,0.0013752559340705363,0.001026518391787853
N1,1712,,,0.37709028993933513,0.001357575994061505,0.0005132591958939265
N1,1950,,,0.2611445340471887,0.0011200768359295355,0.0008554319931565441
N1,2553,,,0.0474162265085552,0.000712104410466485,0.00034217279726261765
N1,2554,,,0.04709056512964098,0.0007116221966711908,0.00034217279726261765
N102,1210,,,0.4698468126814719,0.0017891732519670193,0.0005132591958939265
N102,2738,,,0.07531753740978002,0.0017408537420760626,0.0005132591958939265
N102,2756,,,0.5130720664859778,0.0017890100606947298,0.0006843455945252353
N104,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
N2,1019,,,0.0,0.0016216246209504468,0.00017108639863130882
N2,3051,,,0.006141193705285234,0.0016702271508925214,0.00034217279726261765
N2,3054,,,0.05969029965882257,0.001678581869707585,0.0005132591958939265
N2,3097,,,0.48623023826210876,0.0017376078387071842,0.0005132591958939265
N2,3141,,,0.49214460489405465,0.0017096322053173217,0.001026518391787853
N2,3233,,,0.42047374889411554,0.0016286068626623277,0.0005132591958939265
N2,3377,,,0.38892786442369,0.001473742547136439,0.0005132591958939265
N2,3478,,,0.3586159742702919,0.0013700508524435307,0.0006843455945252353
N2,3494,,,0.13823394571959044,0.0013458733267248536,0.00034217279726261765
N2,3495,,,0.14087741208694374,0.0013443957901206115,0.0005132591958939265
N2,3679,,,0.1936462364212613,0.0012072944129430223,0.0006843455945252353
N2,3811,,,0.15505164502324187,0.0010833573513071184,0.0005132591958939265
N2,3823,,,0.13090211480822456,0.0010730541507735628,0.00034217279726261765
N2,3824,,,0.13917837542866746,0.0010722043898560843,0.0005132591958939265
N2,5786,A,,0.1289646872286521,0.0010712120512363747,0.0006843455945252353
N2,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
N204,3377,,,0.38892786442369,0.001473742547136439,0.0005132591958939265
N204,3478,,bridge at id 3985,0.3586159742702919,0.0013700508524435307,0.0006843455945252353
N207,3495,,bridge at id 3986,0.14087741208694374,0.0013443957901206115,0.0005132591958939265
N207,4234,,,0.0701644525557275,0.0011969271838238517,0.0005132591958939265
N208,4234,,,0.0701644525557275,0.0011969271838238517,0.0005132591958939265
N208,4476,,,0.018379082257895474,0.001064219114431321,0.00034217279726261765
N208,3824,,,0.13917837542866746,0.0010722043898560843,0.0005132591958939265
R151,1419,,,0.46182724021010485,0.001656193967090335,0.0005132591958939265
R151,4530,,,0.05963669610031916,0.0016118659809962518,0.00034217279726261765
R151,4531,,,0.05995986905625533,0.0016094727868303546,0.0005132591958939265
R170,1712,,,0.37709028993933513,0.001357575994061505,0.0005132591958939265
R170,4900,,,0.016965189597338032,0.0010679423263639058,0.00034217279726261765
R170,4901,,,0.016628754810707125,0.0010668223186894859,0.00034217279726261765
R170,4902,,,0.016292202921818433,0.001065704269162074,0.00034217279726261765
R170,4903,,,0.01595553393067195,0.0010645881728534206,0.00034217279726261765
R203,3054,,,0.05969029965882257,0.001678581869707585,0.0005132591958939265
R203,5080,,,0.059436509790627014,0.001704424505221167,0.00034217279726261765
R203,5081,,,0.062094994522541885,0.0017047366889084493,0.0005132591958939265
R203,2738,,,0.07531753740978002,0.0017408537420760626,0.0005132591958939265
R211,3141,,,0.49214460489405465,0.0017096322053173217,0.001026518391787853
R211,3141,,,0.49214460489405465,0.0017096322053173217,0.001026518391787853
R211,6410,,,0.08836167500727497,0.001558338792184791,0.0005132591958939265
R240,3478,,,0.3586159742702919,0.0013700508524435307,0.0006843455945252353
R240,5503,,,0.21156771233127758,0.0013245738475414369,0.00034217279726261765
R240,3679,A,,0.1936462364212613,0.0012072944129430223,0.0006843455945252353
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5786,,,0.1289646872286521,0.0010712120512363747,0.0006843455945252353
R301,6015,,,0.43859084412577015,0.0017533639389583368,0.001026518391787853
R301,6015,,,0.43859084412577015,0.0017533639389583368,0.001026518391787853
R301,3097,,,0.48623023826210876,0.0017376078387071842,0.0005132591958939265
R310,3141,,,0.49214460489405465,0.0017096322053173217,0.001026518391787853
R360,6410,,,0.08836167500727497,0.001558338792184791,0.0005132591958939265
R360,3233,,,0.42047374889411554,0.0016286068626623277,0.0005132591958939265
Z1005,1950,,,0.2611445340471887,0.0011200768359295355,0.0008554319931565441
Z1005,1950,,,0.2611445340471887,0.0011200768359295355,0.0008554319931565441
Z1031,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
Z1031,4531,,,0.05995986905625533,0.0016094727868303546,0.0005132591958939265
Z1034,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
Z1034,7062,,,0.4502717845818092,0.0016886845710567843,0.0005132591958939265
Z1034,1384,,,0.45782497779448433,0.0016878302386410036,0.0005132591958939265
Z1042,1158,,,0.46289808180646624,0.0017944116893104333,0.0005132591958939265
Z1042,5081,,,0.062094994522541885,0.0017047366889084493,0.0005132591958939265
Z1065,1663,,,0.38284056703255265,0.001404911638388964,0.0005132591958939265
Z1065,7716,,,0.3763311452776465,0.0013752559340705363,0.001026518391787853
Z1065,7716,,,0.3763311452776465,0.0013752559340705363,0.001026518391787853
Z1098,2554,,,0.04709056512964098,0.0007116221966711908,0.00034217279726261765
Z1402,1133,,,0.4616674541793503,0.0017891869438636091,0.0005132591958939265
Z2013,3811,,,0.15505164502324187,0.0010833573513071184,0.0005132591958939265
